amazon_ranking,apk_name,apk_id,amazon_category,product_id,product_name,overlap_token_count,developer_name
67,one4kids tv,com.one4kids,education,B07HFJ5686,One4kids TV,2,One4Kids
68,hooplakidz plus,com.hooplakidzplus,education,B07QBDF2WV,HooplaKidz Plus,2,YoBoHo New Media Pvt. Ltd.
0,ifood tv,com.future.ifoodtvAndroidTV,food,B00IVDON8S,iFood.tv,2,Future Today Inc
1,baking by ifood tv,com.future.Baking,food,B00NMD0WB4,Baking By iFood.tv,4,Future Today Inc
2,simply vegetarian,com.recipe.ifoodtvvegetarian,food,B00G245JOA,Simply Vegetarian,2,Future Today Inc
3,bon app tit,com.maz,food,B07NPVF949,Bon Appétit,3,Cond%C3%A9 Nast Entertainment
5,the cooking channel,com.amazon.rialto.cordova.webapp.webapp5c618a8e571247ffae0ff106b3ad0a47,food,B00ZRXIV24,The Cooking Channel,3,Lightcast.com
6,foodtube,com.wns.jo.foodtube,food,B01MQTG19V,Jamie Oliver&#39;s Food Tube,0,jamie oliver ltd
7,mexican recipes by fawesome tv,com.recipe.ifoodtvmexican,food,B00G23Y68G,Mexican Food,1,Future Today Inc
8,low carb 360,com.future.lowcarb360,food,B00YDANCSK,Low Carb 360,3,Future Today Inc
9,bestcooks,com.future.BestCooks,food,B00GJKMV9I,BestCooks,1,Future Today Inc
10,drinks,com.recipe.ifoodtvdrinks,food,B00G441LEK,Drinks,1,Future Today Inc
11,italian recipes by fawesome tv,com.recipe.ifoodtvitalian,food,B00G23M1FQ,Italian Recipes by fawesome.tv,5,Future Today Inc
12,chinese recipes by fawesome tv,com.recipe.ifoodtvchinese,food,B00G1YIN5S,Chinese Recipes by Fawesome.tv,5,Future Today Inc
13,grilling and smoking,com.future.grillingandsmoking,food,B00XWUCR9C,Grilling and Smoking,3,Future Today Inc
15,indian recipes by fawesome tv,com.recipe.ifoodtvindian,food,B00G23GRPQ,Indian Recipes by Fawesome.tv,5,Future Today Inc
16,cake recipes by ifood tv,com.future.cakeRecipes,food,B00FQG2FY2,Cake Recipes By iFood.tv,5,Future Today Inc
17,korean food by ifood tv,com.future.koreanfood,food,B00P29KXMY,Korean Food by iFood.tv,5,Future Today Inc
18,bbq n grill,com.future.BBQnGrill,food,B00ORUJ4XI,BBQnGrill by iFood.tv,0,Future Today Inc
19,thai recipes by fawesome tv,com.recipe.ifoodtvthai,food,B00G24CFS8,Thai Recipes by Fawesome.tv,5,Future Today Inc
20,mediterranean food by ifood tv,com.future.mediterraneanfood,food,B00P29KXT2,Mediterranean Food by iFood.tv,5,Future Today Inc
21,smoky ribs,com.future.smokeyribs,food,B00XWUCF08,Smoky Ribs,2,Future Today Inc
22,drinktv,io.oddnetworks.drinktv,food,B07NYB3HCT,DrinkTV,1,DrinkTV
23,copykat recipes,com.future.copykatrecipes,food,B00XWKIQ56,CopyKat Recipes,2,Future Today Inc
24,fmtv,com.foodmatterstv,food,B07GVQPJ9Q,FMTV: Food Matters TV,1,FMTV%3A Food Matters TV
25,the japan food channel,com.future.thejapanfoodchannel,food,B00YD7BMRQ,The Japan Food Channel,4,Future Today Inc
26,the southern weekend,com.raycom.firetv.tsw,food,B07JC7ZRXK,The Southern Weekend,3,Raycom Media Inc.
27,serious eats,com.future.seriouseats,food,B01LWVJAX1,Serious Eats,2,Future Today Inc
28,cooking outdoors,com.future.cookingoutdoors,food,B00YD7CEF0,Cooking Outdoors,2,Future Today Inc
29,vegan life by fawesome tv,com.future.veganlife,food,B00P2FQBT2,Vegan Life by Fawesome.tv,5,Future Today Inc
30,kids recipes,com.recipe.ifoodtvkids,food,B00G23NP3S,Kids Recipes,2,Future Today Inc
31,filipino food by ifood tv,com.future.filipinofood,food,B00OYULB78,Filipino Food by iFood.tv,5,Future Today Inc
32,cookingwithnonna,tcss.cookingwithnonna,food,B01D8AYIVK,Cooking with Nonna,0,Cooking with Nonna
33,ballistic bbq,com.future.ballisticBBQ,food,B00YD7BZHI,Ballistic BBQ,2,Future Today Inc
34,soulfult,com.amazon.rialto.webapp.Ad527b67178c64824e746dc9845f440b9b1a93444,food,B07ND54C6L,SoulfulT,1,Vid20%2C LLC
35,japanese food by ifood tv,com.future.japanesefood,food,B00P29KYVY,Japanese Food by iFood.tv,5,Future Today Inc
36,chefsfeed,com.amazon.rialto.webapp.Ad479ec217b78773c4e9cbf0da74d66c2c84ef019,food,B07GX5BDLH,ChefsFeed,1,Credible Inc.
37,mothers bbq,com.future.mothersbbq,food,B00XWUD7UU,Mother&#39;s BBQ,1,Future Today Inc
38,crafty cocktails,com.amazon.craftycocktails,food,B07MVN1RXD,Crafty Cocktails,2,Cynogage
39,simply recipes,com.future.SimplyRecipesAndroidTV,food,B075R36Q6T,Simply Recipes,2,Future Today Inc
40,cooking panda,com.rndr.cookingpanda.tv,food,B074FWWG8Z,Cooking Panda Fire TV,2,Render Media Inc.
41,freak eating,com.amazon.rialto.webapp.Ac7e6e76fc645576eeccdfe6d9c4f86adf5ea5b92,food,B07N6J5TZ3,Freak Eating,2,Vid20%2C LLC
42,hooplakidz recipes,com.amazon.android.aveza.hooplakidzRecipes,food,B078KF6X6Z,HooplaKidz Recipes,2,Dhruv Consultancy Services
43,momma cuisine,com.future.mommacuisine,food,B00YT1I8IC,Momma Cuisine,2,Future Today Inc
44,ifoodtv,com.amazon.rialto.cordova.webapp.webapp79fa382db4804ddda5041a5a1eb37324,food,B00TWQWFW4,iFoodTV,1,Samba TV
45,flavor maker,tv.accedo.ott.flow.mccormick.and.company,food,B07QGDK27X,Flavor Maker,2,McCormick %26 Co.%2C Inc.
46,recipe box tv,com.future.recipeboxtv,food,B07F3592CV,Recipe Box TV,3,Future Today Inc
47,kitchen stories,com.ajnsnewmedia.kitchenstories.fire,food,B01HONUC4O,Kitchen Stories,2,AJNS New Media GmbH
48,wedding cakes and recipes,com.agamedialab.weddingcakesforyou,food,B07QT4PDDF,Wedding Cakes And Recipes,4,AGA Medialab
49,pan asian,com.future.panasian,food,B00YD7D3U0,Pan Asian,2,Future Today Inc
50,kurt selander,com.amazon.rialto.webapp.A11ccb1fb8cf320746788fd45650d923a51e9d4ae,food,B07NYV7YRR,kurt selander,2,kurtselander
51,bhavnas kitchen,com.future.bhavnaskitchen,food,B00XWMCVYQ,Bhavna&#39;s Kitchen,1,Future Today Inc
52,green smoothie habit,com.future.greensmoothiehabit,food,B00XWM9AGI,Green Smoothie Habit,3,Future Today Inc
53,kosher recipes,com.recipe.ifoodtvkosher,food,B00G23RQJC,Kosher Recipes,2,Future Today Inc
54,gooseberry patch,com.future.gooseberrypatch,food,B00XWJ7RM0,GooseberryPatch,0,Future Today Inc
55,signature cookbook,com.amazon.rialto.cordova.webapp.webappde850802101243fdab08b4e34bf614c4,food,B07L7K9LB2,Signature Cookbook,2,Dominiche Production Pvt.Ltd
56,biergarten,com.amazon.biergarten,food,B07MVKH3CD,Biergarten,1,Cynogage
57,surprising american ads,com.amazon.rialto.webapp.Ac8cd8234b4ae15a1b9bed47f84008295451bfbdd,food,B07QBGHTPS,Surprising American Ads,3,joureau
58,italiancakes,com.amazon.rialto.webapp.Ae6eba3154536654a01e34d9706d2e7df56a67cea,food,B07NJGM99N,ItalianCakes,1,ItalianCakes
59,cocina al natural,com.amazon.android.aveza.CocinaalNatural,food,B07CHNTFG6,Cocina al Natural,3,Dhruv Consultancy Services
60,simply delicious living,com.future.simplydeliciousliving,food,B00ZB21EUM,Simply Delicious Living,3,Future Today Inc
61,mind over munch,com.amazon.rialto.webapp.A00a9944a6fc139110b9df67462a97f4ea3024a86,food,B07ND4MPVS,Mind Over Munch,3,Vid20%2C LLC
62,recipelion,com.amazon.rialto.webapp.A17f6c8a76c3898855a57cda785483e39924d21d5,food,B076VWLZ22,RecipeLion,1,1988
63,lynns recipes,com.future.lynnsrecipes,food,B00YSY02XE,Lynn&#39;s Recipes,1,Future Today Inc
64,blender babes,com.future.blenderbabes,food,B00XWKIQGK,Blender Babes,2,Future Today Inc
65,cuisinart,com.amazon.rialto.cordova.webapp.webapp8bf4c931e2a141c888fbbad96565a0db,food,B01CT7EZK2,Cuisinart,1,BPS Digital Media
66,taste it,com.amazon.rialto.cordova.webapp.webapp1838dc4ccc584c708c498fefdbeb82b7,food,B07CX7F7XL,Taste It - Cooking &amp; Food,2,Unreel Entertainment llc
67,un sabor me trajo hasta aqued,com.amazon.rialto.cordova.webapp.webapp6887b6717db5472193a11908b06efed3,food,B011CERK7I,Un sabor me trajo hasta aquí,5,La Nueva Television del SUR CA
68,save the kales,com.future.savethekales,food,B00YT1ING4,Save the Kales,3,Future Today Inc
69,brewfund bvs,com.brewfund.brewfundbvs,food,B077B8MBG1,BrewFund BVS,2,BrewFund%2C Inc.
0,nba,com.nbadigital.jumbo,health,B00HX2CYJS,NBA for Fire TV,1,NBA Digital
1,nfl,com.gotv.nflgamecenter.us.lite,health,B01LXOU5PM,NFL,1,NFL.com
2,daily burn,com.dailyburn.challenge,health,B00HAPXDWK,Daily Burn - Streaming Workouts,2,DailyBurn
3,beachbody,com.beachbody.bodfiretv,health,B07D56RNQJ,Beachbody On Demand,1,Beachbody%2C LLC
4,relaxing records,com.relax.my.record,health,B01LEFGMAQ,Relaxing Records,2,Polypack-uk Ltd
5,bib yoga,com.amazon.rialto.cordova.webapp.webapp8dce82b0aefe46e3ac67dc00fce12092,health,B01IP5CM48,Yoga with Body in Balance,1,Two Way Media
6,gaia,com.gaia.firetv,health,B01N9SQC83,Gaia for Fire TV: Conscious Yoga  Meditation  and Spirituality,1,Gaia
7,daily workouts free,com.tinymission.dailyworkoutsfree,health,B00AKOB7CG,Daily Workouts - Exercise Fitness Routine Trainer,2,Daily Workout Apps%2C LLC
8,yoga intl,com.maz.home449,health,B076X47BLK,Yoga International,1,Yoga International
9,fitfusion,tv.vhx.fitfusion,health,B071RPTRQY,FitFusion by Jillian Michaels for Fire Stick or Fire TV,1,FITFUSION
10,daily up,com.dailyupfitness.up,health,B01NGUELBW,DailyUp fitness for Fire TV/Stick,0,Kakarotto Technology co.%2C Ltd
11,grokker,com.grokker,health,B077W987J7,Grokker Yoga  Fitness  Mind,1,Grokker%2C Inc.
12,simply yoga free,com.tinymission.dailyyogafree,health,B00AVZRVP6,Simply Yoga - Fitness Trainer for Workouts &amp; Poses,2,Daily Workout Apps%2C LLC
14,zen tv,tv.beatflix.zentv,health,B01CWE8D0U,Zen TV,2,beatflix
15,yoga tv,tv.beatflix.yoga,health,B01IRT9QJ6,Yoga TV,2,beatflix
16,zumba workouts,com.zumba.zumbaathome,health,B07LC4RY4P,Zumba Workouts,2,Zumba
19,prescription for serenity,jp.missionone.prescriptionforserenity,health,B0719LSCSS,Prescription for Serenity,3,Mission One%2C LLC
20,tiffanyrotheworkouts,com.amazon.android.aveza.tiroworkoutapp,health,B074V8ZBVJ,TiffanyRotheWorkouts,1,Dhruv Consultancy Services
21,relaxmycat soothing music for cats,com.relax.my.cat,health,B01JU7NAA0,RelaxMyCat - Soothing Music and TV for Cats,5,Polypack-uk Ltd
22,bib dance,com.amazon.rialto.cordova.webapp.webapp1bd0ba32e3b84d4a8f912b33c3394a5f,health,B01IP52EXM,Dance yourself fit!,1,Two Way Media
23,fityou,com.future.FitYou,health,B00G0TZMSU,FitYou,1,Future Today Inc
24,les mills,com.onemainstream.dc.android,health,B010P0IW68,LES MILLS On Demand,2,Les Mills Media Ltd.
25,relaxing music,com.deepsgamestudio.relaxmusic,health,B07NW83PF9,Relaxing Music,2,Deeps Game Studio
26,dominican networks,com.dominican.network,health,B07GWJLC37,Dominican Network,1,RCTVHD
27,body groove,com.bodygroove.video,health,B077VK9ZXJ,Body Groove,2,Body Groove LLC
29,andreia brazier,com.amazon.rialto.cordova.webapp.webapp6ea97e1d741c430bb85f79798728803e,health,B01C60HD0G,Andreia Brazier Body Transformation,2,Two Way Media
30,relaxing water stream,com.serenity.relaxingwater,health,B00PH4W7S2,Relaxing water stream,3,Serenity
31,cosmic kids,com.cosmickids,health,B07JN6YRWP,Cosmic Kids Yoga,2,Cosmic Kids
32,on demand,com.purebarre.video,health,B072NDWC5H,Pure Barre On Demand,2,Pure Barre
33,bodyfx,com.bodyfx.video,health,B076XMPCNZ,Body FX,0,Body FX
37,pilates,com.future.pilates,health,B00OKEMB0E,Pilates,1,Future Today Inc
39,unplug meditation,tv.vhx.unplugmeditation,health,B0784YJMYJ,Unplug: Guided Meditation,2,Unplug Meditation
40,white log fireplace,com.digitalx.amazonvirtualfireplace,health,B00OISC5QM,White Log Fireplace,3,DigitalX
43,yoga,com.sarahbethyoga.video,health,B074Q479VL,Sarah Beth Yoga,1,Sarah Beth Yoga
44,neo u,com.neou.fitness,health,B07JLSCJVT,NEO U,1,RhinoCo
47,bib summer body,com.amazon.rialto.cordova.webapp.webapp6baf1f1851e14973bdc298a83e1d6eaf,health,B01IP75PBI,Summer Body Workouts,2,Two Way Media
48,gymra,com.future.gymra,health,B01GEPZUS6,GymRa,1,Future Today Inc
49,on demand,com.titleboxing.video,health,B07L95Z7LG,Title Boxing Club On Demand,2,TITLE Boxing Club
50,the medical channel,com.amazon.rialto.cordova.webapp.webappf628d5f5fccd41d2a95230bb2bc7238d,health,B017D9O1O6,The Medical Channel,3,Lightcast.com
51,my cannabis channel,com.amazon.rialto.webapp.A351811d5411e53f4bb4dc6a939a21c3942ff611c,health,B07Q15X13B,My Cannabis Channel,3,Creative Videos Agency
52,on demand,com.balletphysique.video,health,B07L9JCS8J,Ballet Physique On Demand,2,The Ballet Physique
54,green rainfall hd,com.goosefly.greenrainfallhd,health,B01CV4ZAFM,Green Rainfall HD - Relaxing Rainy Ambiance to overcome Stress - An App for Fire TV &amp; Devices,3,Goosefly
59,workout,com.peirr.workout.amazon,health,B00QX5S2SI,365 Body Workout,1,Peirr Mobility
62,weight loss,com.future.weightloss,health,B00P2FQ98U,Weight Loss,2,Future Today Inc
63,abs fitness by fawesome tv,com.future.abs,health,B07PK88DJJ,Abs Fitness by Fawesome.tv,5,Future Today Inc
64,x sports app,com.andromo.dev176153.app831266,health,B07FYRZKT2,X Sports App,2,Racer Apps
65,yoga by fawesome tv,com.future.yogafawesome,health,B07MV91F6J,Yoga by Fawesome.tv,4,Future Today Inc
66,on demand,com.corepower,health,B07DRQ92MQ,CorePower Yoga On Demand,2,CorePower Yoga
67,bebopvox,com.amazon.android.aveza.bebopvox,health,B0741B514S,BebopVox,1,Dhruv Consultancy Services
68,instant fart,com.geniuscircle.amazoninstantfart,health,B00SX3NQI4,Instant Fart,2,Genius Circle
69,stream mountains view,com.digitalx.amazonstreammountainviewfree,health,B00UQI4GGU,Stream Mountains View,3,DigitalX
0,nickjr,com.nick.android.nickjr.tv,kids,B074PDDXF2,Nick Jr. for Fire TV,0,Nickelodeon
1,watch videos,org.pbskids.video,kids,B009P8EMCK,PBS KIDS Video,0,PBS KIDS
2,iheartradio family,com.iheartradio.family.tv,kids,B07NSD2PHR,iHeartRadio Family TV,2,iHeartMedia
3,kids preschool nursery rhymes,com.amazon.android.kidspreschoolnurseryrhymes,kids,B075XQ6D8M,Kids Preschool Nursery Rhymes,4,USP Studios Pvt. Ltd.
4,chuchu tv nursery rhymes,com.amazon.rialto.cordova.webapp.webappddccc2245c524d95bdeb7088fa5d7a1f,kids,B015SJRCN0,ChuChu TV Nursery Rhymes,4,ChuChu TV Studios
5,kids first,com.amazon.android.kidsfirst,kids,B06XJCC3T3,Kids First,2,Looke Digital Pvt. Ltd.
6,popcornflix kids,net.screenmedia.popcornflix.kids.firetv,kids,B07D9TVGN3,Popcornflix Kids,2,Screen Media Ventures%2C L.L.C.
7,pok mon tv,com.pokemontv,kids,B00J43WTR6,Pokémon TV,3,The Pok%C3%A9mon Company International
8,ameba tv,com.amazon.rialto.cordova.webapp.webapp64b835f44e8749e9bb0d866de3845e05,kids,B01017QXUM,Ameba TV,2,AmebaTV
9,pocoyo kids tv,com.pocoyotv.tablet.zinkia,kids,B00GCBB8CA,Pocoyo Kids TV,3,Zinkia Entertainment S.A.
10,fun with roblox by happykids tv,com.future.funwithroblox,kids,B07MF7RMQ3,Fun with Roblox by HappyKids.tv,6,Future Today Inc
11,blippi,com.future.blippi,kids,B017Y5QV2Y,Blippi,1,Future Today Inc
12,animal pre k math,com.eggrollgames.animalmathprekfree,kids,B00KN95ZWG,Animal Math Preschool Math Games for Toddlers and Early Learners Free Math Games for Kids Pre-K Preschoolers Learning Numbers  Counting  Addition and Subtraction,3,Eggroll Games
13,happykids tv,com.future.HappyKids,kids,B00G0VJ52C,HappyKids.tv - Free | Fun | Learn,2,Future Today Inc
14,deep sea,com.fisherprice.smartcyclespongebobAmazon,kids,B071J3JM4L,Smart Cycle SpongeBob Deep Sea,2,Fisher-Price%2C Inc.
15,stem,com.fisherprice.smartcycleblazeAmazon,kids,B0714M4XNS,Smart Cycle Blaze Speed &amp; STEM,1,Fisher-Price%2C Inc.
16,animal math games free,com.eggrollgames.mathgamesfree,kids,B00IBI4N6K,Animal Math Games for Free First Grade and Kindergarten Learning Games  Counting  Addition and Subtraction Math Apps for Kids,4,Eggroll Games
17,challenge,com.fisherprice.smartcyclehotwheelsAmazon,kids,B077VSW19J,Smart Cycle Hot Wheels City Challenge,1,Fisher-Price%2C Inc.
18,animal kindergarten math free,com.eggrollgames.animalmathkindergartenfree,kids,B019HA0BOS,Animal Math Kindergarten Math Games for Kindergarten and Early Learners Free Kindergarten Games for Kids in Pre-K  Kindergarten and 1st Grade Learning Numbers  Counting  Addition and Subtraction,4,Eggroll Games
19,hopster,tv.platomedia.hopster.amazon,kids,B07FKQC6X3,Hopster: Educational Kids TV,1,Plato Media Ltd
20,hooplakidz,com.amazon.rialto.cordova.webapp.webapp01d8a0bc110843a0b930ec2e96ce6f06,kids,B0191Y5NP2,HooplaKidz,1,YoBoHo New Media Pvt. Ltd.
21,nursery rhymes club,com.amazon.rialto.cordova.webapp.webappf8c7b7f5555c4ae6a1e0fd587b903836,kids,B01CUZHHA8,Nursery Rhymes Club,3,YoBoHo New Media Pvt. Ltd.
22,animal first grade math games free,com.eggrollgames.animalmathgrade1free,kids,B00MNZN64M,Animal Math First Grade Math Games for First Grade and Early Learners Free First Grade Games for Kids in Kindergarten 1st 2nd Grade Learning Numbers  Counting  Addition and Subtraction,6,Eggroll Games
23,musti and friends,com.future.mustiandfriends,kids,B01KYUAUN2,Musti and Friends,3,Future Today Inc
24,blippi toys,com.future.blippitoys,kids,B01KYUBJBY,Blippi Toys,2,Future Today Inc
25,kids camp,com.amazon.rialto.cordova.webapp.webapp3f7fc42a2525424e98fb6a394d79231d,kids,B019G6IGTU,Kids Camp,2,YoBoHo New Media Pvt. Ltd.
27,juniortube,com.nehloo.juniortube,kids,B074MN3DM8,JuniorTube,1,Nehloo Interactive LLC
28,tech city,com.fisherprice.smartcycletechcityAmazon,kids,B072882Q21,Smart Cycle Mission Tech City,2,Fisher-Price%2C Inc.
29,om nom stories,com.future.omnomstories,kids,B07F2M8HBW,Om Nom Stories,3,Future Today Inc
30,creativity,com.fisherprice.smartcyclebarbieAmazon,kids,B077DW6B89,Smart Cycle Barbie DreamtopiaTM Creativity,1,Fisher-Price%2C Inc.
31,go to bed,com.oceanhouse_media.booklcgotobedfiretv_app,kids,B00YTC4VAA,Just Go to Bed - Little Critter (FireTV version),3,Oceanhouse Media%2C Inc
33,talking tom and friends,com.future.talkingtomandfriends,kids,B07GFN79LQ,Talking Tom and Friends,4,Future Today Inc
34,thnxcya,com.amazon.android.aveza.thnxcyaapp,kids,B0751H66NV,ThnxCya,1,Dhruv Consultancy Services
35,tms anime,com.future.tmsanime,kids,B07K9ZHJD1,TMS Anime,2,Future Today Inc
36,baby genius,com.future.babygeniusAndroidTV,kids,B06VT49J8S,Baby Genius,2,Future Today Inc
41,nursery rhyme street,com.amazon.rialto.cordova.webapp.webapp36a7fae5f7224cc58838b07c6e6b633a,kids,B019G7LZUQ,Nursery Rhyme Street,3,YoBoHo New Media Pvt. Ltd.
43,jesus kids tv,com.amazon.rialto.webapp.Af49b7f5357ca1cbe9247e1e288ff9c3e58ea3680,kids,B07L6MNCC5,Jesus Kids TV,3,John Locke
44,naiah and elli show,com.future.naiah,kids,B07QL67R7N,Naiah and Elli Show,4,Future Today Inc
45,gizzy gazza,com.amazon.android.aveza.gizzygazzaapp,kids,B071GTW1MS,Gizzy Gazza,2,Dhruv Consultancy Services
46,little baby bum,com.future.littlebabybum,kids,B07MW3WXCW,Little Baby Bum,3,Future Today Inc
47,l o l surprise,com.future.lolsurprise,kids,B07NPS7HFS,L.O.L. Surprise!,1,Future Today Inc
48,happykids2,com.future.happykids2,kids,B017HUBWH0,HappyKids2,1,Future Today Inc
49,haunted house,com.amazon.android.hauntedhouse,kids,B075F7GQ6H,Haunted House,2,USP Studios Pvt. Ltd.
