amazon_ranking,apk_name,apk_id,amazon_category,product_id,product_name,overlap_token_count,developer_name
6,create craft,com.isd.createandcraft,shopping,B01N33ARCC,Create &amp; Craft,2,Ideal Shopping Direct Limited
7,amazon handmade,com.amazon.rialto.webapp.A6ed4efc199bebae4da0e5ec21e689439c4744ab8,shopping,B07G7VWLT1,Amazon Handmade,2,Amazon.com
8,shop lc,com.vgl.lc,shopping,B01N6KNG3S,SHOP LC,2,SHOPLC
9,gem shopping,com.gemshopping.gemshoppingnetwork,shopping,B01GUEBBC0,Gem Shopping Network,2,Gem Shopping Network Inc.
0,espn,com.espn.gtv,sports,B00E81O27Y,ESPN for Fire TV,1,ESPN Inc.
2,mlb tv,com.bamnetworks.mobile.android.gameday.atbat,sports,B007FIJ9EI,MLB At Bat,1,MLB Advanced Media%2C L.P.
3,fsgo,com.foxsports.videogo,sports,B00I5VT8KY,FOX Sports GO,0,FOX Sports Media Group
6,nbc sports,com.nbcuni.com.nbcsports.liveextra.firetv,sports,B01923M8T6,NBC Sports,2,NBCUniversal Media%2C LLC
7,fubotv,com.fubo.firetv.screen,sports,B019DCHDZK,fuboTV: Watch Live Sports &amp; TV,1,fuboTV
8,ufc,com.neulion.firetv.ufc.android.amazon,sports,B0175YDUL4,UFC,1,Zuffa%2C LLC
9,bike stunt,com.renderedideas.bikestunt1,sports,B07P11VD3M,Bike Stunt,2,Rendered Ideas
