# First 1000 channels from apk_info_top_with_ranking.csv, sorted by Amazon ranking
amazon_category_ranking,apk_name,apk_id,product_id,product_name,overlap_token_count,developer_name
63,fxnow,com.fxnetworks.fxnow,B015YMZZBM,FXNOW: Watch TV Live &amp; On Demand,1,FX Networks%2C LLC
64,vh1,com.mtvn.vh1android,B00UB051NA,VH1,1,VH1
65,tbs,com.turner.tbs.android.networkapp,B00BI60DMU,Watch TBS,1,Turner Entertainment  Networks 
66,asphalt 8,com.gameloft.android.AMAZ.GloftA8AS,B00EQ0CKRQ,Asphalt 8: Airborne,1,Gameloft
67,nhl,com.nhl.gc1112.free,B075QSZ6G2,NHL,1,BAMTECH Media
68,kids,com.kdstb,B07LCNRR7P,Videos for YouTube Kids,1,App for Youtube Kids
69,discovery go,com.discovery.firetv.dscgo,B06XJMH3QG,Discovery GO - Fire TV,2,Discovery Communications
70,the weather channel,com.weathergroup.twc,B07PNRRTN6,Watch The Weather Channel,3,Weather Group%2C LLC
71,sundance tv,com.sundancetv.firetv,B079XN87X5,Sundance TV,2,AMC Networks
72,pac man256,eu.bandainamcoent.pacman256,B012GOSOD2,PAC-MAN 256 - Endless Arcade Maze,1,BANDAI NAMCO Entertainment Europe SAS
73,bravo,com.amazon.webapps.nbc.bravo,B01M4R0H1F,Bravo,1,NBCUniversal Media%2C LLC
74,hill climb racing,com.fingersoft.hillclimbracing,B00CSR2J9I,Hill Climb Racing,3,Fingersoft
75,movies anywhere,com.moviesanywhere.ama,B075VFR5DB,Movies Anywhere,2,Movies Anywhere
76,disneynow,com.disney.datg.videoplatforms.android.amazon.kindle.watchdc,B00BFWY2KG,DisneyNOW - Episodes &amp; Live TV,1,Disney
77,hc battle arena,com.highscorehero.battlearena,B07GY13Q68,Hovercraft: Battle Arena,2,High Score Hero LLC
78,syfy,com.amazon.webapps.nbc.syfy,B01MD1TEOW,SYFY,1,NBCUniversal Media%2C LLC
79,bike stunt,com.renderedideas.bikestunt1,B07P11VD3M,Bike Stunt,2,Rendered Ideas
80,tlc go,com.discovery.firetv.tlcgo,B06XJR56MG,TLC GO,2,Discovery Communications
81,pandora,com.pandora.android.gtv,B00F3HU1EU,Pandora Music for TV,1,Pandora Media 
82,ipvanish,com.ixolit.ipvanish,B071GDC48J,IPVanish VPN: The Best VPN for Fire Stick,1,IPVanish VPN
83,race off,com.hutchgames.hotwheels,B072LH77XQ,Hot Wheels: Race Off,2,Hutch
84,comedy central,com.vmn.android.comedycentral,B00V970B0W,Comedy Central,2,Comedy Central
85,iheartradio,com.clearchannel.iheartradio.tv,B00E9B1OCE,iHeartRadio TV,1,iHeartMedia
86,haystack tv,com.haystack.android,B01CTVC4OC,Haystack TV: Local &amp; World News - Free,2,Haystack TV Inc
87,bigstarmovies,com.bigstar.movie,B072HJCY45,BIGSTAR Movies &amp; TV,0,Bigstar Movies
88,twitch,tv.twitch.android.viewer,B007SOQBCM,Twitch: Livestream Multiplayer Games &amp; Esports,1,Twitch Interactive%2C Inc.
90,e,com.amazon.webapps.nbc.e,B01N6EEEBE,E!,0,NBCUniversal Media%2C LLC
91,stunt extreme,com.renderedideas.stuntextreme,B078JGGQ8S,Stunt Extreme,2,Rendered Ideas
92,hgtv,tv.accedo.hgtv,B017JEVTP4,HGTV,1,Scripps Networks%2C LLC
94,sling tv,com.sling,B00ODC5N80,Sling TV,2,Sling TV LLC
95,siriusxm tv,com.amazon.rialto.cordova.webapp.webapp7b743ed0e02e48178fb2bf55dbb38517,B01MSJH8DZ,SiriusXM for TV - Music  Radio &amp; Video,2,SiriusXM Radio
96,hallmark channel,com.hallmarkchannel.tv,B018F20I42,Hallmark Channel Everywhere,2,crown media
97,amazon appstore developers,com.amazon.rialto.webapp.A3ac7e61f22af0ba30991e3cda41231fb1b37021f,B076QVLWQ1,Amazon Appstore Developers,3,Amazon Developers
98,plex,com.plexapp.android,B004Y1WCDE,Plex,1,Plex%2C Inc.
99,disney cr,com.disney.disneycrossyroad_ama,B01C3G7SS0,Disney Crossy Road,1,Disney
100,adult swim,com.adultswim.firetv,B07C3GMF4H,[adult swim],2,Adult Swim Games
101,id go,com.discovery.firetv.idsgo,B06XJQFDMS,Investigation Discovery GO,1,Discovery Communications
102,food network,tv.accedo.foodnetwork,B017DVROV6,Food Network,2,Scripps Networks%2C LLC
103,bb racing,com.vectorunit.purple.amazon,B00NW2KZYY,Beach Buggy Racing,1,Vector Unit Inc
104,epix now,com.epixnow.firetvapp,B07PPPZQC6,EPIX NOW: Watch TV &amp; Movies,2,EPIX
105,newsy,com.newsy,B00QSNFNIW,Newsy - Fire TV,1,Media Convergence Group%2C Inc.
106,at t watchtv,com.att.tv.watchtv,B07DWGKBRR,AT&amp;T WatchTV,2,AT%26T Services%2C Inc.
107,amazing classics,stormcastcinema.amazing.classics,B07MSG4GLJ,Amazing Classics - Classic Movies and TV Shows,2,Stormcast Cinema
108,nbc news,com.zumobi.msnbc,B0055DL1G4,NBC News,2,NBC News Digital LLC
109,crunchyroll,com.crunchyroll.crunchyroid,B004U7BXBO,Crunchyroll,1,Ellation%2C Inc.
110,abc news,com.abc.abcnews.firetv,B07DD3Z1VV,ABC News,2,ABC News
111,cbs news,com.cbsnews.ott,B01MDKA8EH,CBS News - Fire TV,2,CBS Interactive
112,tv ncaa march madness live,com.ncaa.mmlive.app.tv,B06XFJQSYW,NCAA March Madness Live for FireTV,4,Turner Sports Interactive%2C Inc
113,telemundo,com.amazon.webapps.nbc.telemundo,B01MS4IDD0,Telemundo,1,NBCUniversal Media%2C LLC
114,pbs,com.pbs.video,B008Z2NVGK,PBS Video,1,Public Broadcasting Service
115,crossing dead,com.wizardgames.crossingdead,B00ZDW175W,The Crossing Dead,2,Wizard Games Inc
116,directv now,com.att.tv,B01J62Q632,DIRECTV NOW℠,2,AT%26T Services%2C Inc.
117,airscreen,com.ionitech.airscreen,B07CPZ698R,AirScreen - AirPlay &amp; Google Cast &amp; Miracast &amp; DLNA,1,%E9%87%8D%E5%BA%86%E7%88%B1%E5%A5%A5%E5%B0%BC%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8
118,audible,com.audible.application.firetv,B01G4XZE3O,Audible for Fire TV,1,Audible%2C Inc.
120,tv mirror,de.twokit.screen.mirror,B07P9VB2KL,TV Mirror - Screen Mirroring,2,2kit consulting
121,own,com.own.firetv.owntve,B077V4H3VJ,Watch OWN,1,OWN%2C LLC
122,hd video for youtube,com.kyy.desktoptube,B01LX4TR1R,HD Video For YouTube,4,Kyy Apps
123,cbs sports,com.handmark.sportcaster,B00EOUGFNS,CBS Sports Stream &amp; Watch Live,2,CBS Interactive
124,daily burn,com.dailyburn.challenge,B00HAPXDWK,Daily Burn - Streaming Workouts,2,DailyBurn
125,cnbc tv,com.nbcuni.cnbc.tve,B072373XYG,CNBC - Fire TV,2,NBCUniversal Media%2C LLC
126,weather,com.macropinch.swan,B00BMR5HOO,Weather,1,MacroPinch
127,wwe,com.mlbam.wwe_asb_app,B00L827P98,WWE Network,1,WWE
128,mousebot,com.vectorunit.mercury.amazon,B06WWDYM5R,MouseBot,1,Vector Unit Inc
129,nat geo tv,com.natgeo.tv,B078HX6594,Nat Geo TV: Watch Live &amp; On Demand,3,National Geographic
130,run or die,com.renderedideas.runordie,B07PK7QKCW,Run or Die,3,Rendered Ideas
131,expressvpn,com.expressvpn.vpn,B00GAZ1T9U,ExpressVPN - #1 Trusted VPN,1,Express VPN LLC
132,blackworldcinema,blackcinema.bigstar.tv,B01N12TSKS,Black World Cinema,0,Bigstar Movies
133,faily brakes,com.spungegames.failybrakes,B071NLH69B,Faily Brakes,2,Spunge Games Pty Ltd
134,animal planet,com.discovery.firetv.aplgo,B06XJB3V8T,Animal Planet GO,2,Discovery Communications
135,hangman,com.wapfrog.hangman,B071J9H8XQ,Hangman Word Game,1,wapfrog.com
136,we tv,com.wetv.firetv,B077BSJ3G7,WE tv,2,AMC Networks
137,stirr,com.sbgtv.stirr.amazon,B07HXMX81P,STIRR,1,Sinclair Digital
138,tube for youtube,com.kyy.tube,B01LY1PAZ9,Tube -For YouTube,3,Yang Apps
139,allcast receiver,com.koushikdutta.cast.receiver,B00JHMPP9S,AllCast for Fire TV,1,ClockworkMod
140,tic tac toe,com.Stany.TicTacToeTV,B00QXWHO2G,Tic Tac Toe,3,Stany2011
141,oxygen,com.amazon.webapps.nbc.oxygen,B07PJY8DS5,Oxygen,1,NBCUniversal Media%2C LLC
143,alpha guns free,com.renderedideas.alphaguns,B077JJ1N1K,Alpha Guns,2,Rendered Ideas
144,western mania,stormcastcinema.westernmania,B07BDNQNB5,Western Mania - Classic Westerns  Movies &amp; TV Shows,2,Stormcast Cinema
145,dc universe,com.wb.amzn.dcuniverse,B07FTSYXXX,DC Universe - The Ultimate DC Membership,2,Warner Bros
149,nordvpn,com.nordvpn.android,B07DLX7Q7W,NordVPN - Fast  Secure and Unlimited VPN app for Android. Stay secure and private online,1,NordVPN
150,dh classic,com.glu.deerhunt2,B00FAX6XQC,DEER HUNTER CLASSIC,1,Glu Mobile Inc.
151,hc takedown,com.highscorehero.takedown,B01EO1PGMM,Hovercraft: Takedown - Custom Combat Cars,1,High Score Hero LLC
152,highway racing 3d,com.renderedideas.highwayracing3d,B07NRLV88V,Highway Racing 3D,3,Rendered Ideas
153,travel channel,tv.accedo.travelchannel,B017JF3EXS,Travel Channel,2,Scripps Networks%2C LLC
155,sony crackle movies tv,com.gotv.crackle.handset,B00FAWEQAS,Sony Crackle - Free Movies &amp; TV,4,Crackle
156,cw seed,com.cwseed.tv.android,B074VXF9XC,CW Seed on Fire TV,2,The CW Network
157,tcm,com.tcm.apps.tv,B0157M35JI,WATCH TCM,1,Turner Entertainment  Networks 
159,amazon shopping,com.amazon.shoptv.firetv.client,B07237Z2XK,Amazon Shopping for Fire TV,2,Amazon.com
160,tidal,com.aspiro.tidal,B0119DBAW8,TIDAL,1,TIDAL Music AS
161,popcornflix,tv.clasp.firetv,B00VXJ7DAC,PopcornflixTM- Movies.TV.Free,0,Screen Media Ventures%2C L.L.C.
162,kids preschool nursery rhymes,com.amazon.android.kidspreschoolnurseryrhymes,B075XQ6D8M,Kids Preschool Nursery Rhymes,4,USP Studios Pvt. Ltd.
164,popcornflix kids,net.screenmedia.popcornflix.kids.firetv,B07D9TVGN3,Popcornflix Kids,2,Screen Media Ventures%2C L.L.C.
165,kids first,com.amazon.android.kidsfirst,B06XJCC3T3,Kids First,2,Looke Digital Pvt. Ltd.
166,chuchu tv nursery rhymes,com.amazon.rialto.cordova.webapp.webappddccc2245c524d95bdeb7088fa5d7a1f,B015SJRCN0,ChuChu TV Nursery Rhymes,4,ChuChu TV Studios
167,funimationnow,com.Funimation.FunimationNow.firetv,B01GKJX51A,FunimationNow,1,Funimation Productions%2C LTD
168,flappy birds family,com.dotgears.flapfire,B00MA6FBMY,Flappy Birds Family,3,DOTGEARS
169,friends rush,com.lego.friends.heartlake,B077TFRKX1,LEGO® Friends Heartlake Rush,2,LEGO System A%2FS
170,fibbage,com.jackboxgames.fibbage,B00ICPLBCQ,Fibbage: The Hilarious Bluffing Party Game,1,Jackbox Games
171,pok mon tv,com.pokemontv,B00J43WTR6,Pokémon TV,3,The Pok%C3%A9mon Company International
173,iheartradio family,com.iheartradio.family.tv,B07NSD2PHR,iHeartRadio Family TV,2,iHeartMedia
174,relaxing records,com.relax.my.record,B01LEFGMAQ,Relaxing Records,2,Polypack-uk Ltd
175,trutv,com.turner.truTV,B06XKK1V1F,truTV,1,truTV
176,dish anywhere,com.sm.SlingGuide.Dish,B00ILYCMRG,DISH Anywhere,2,DISH Network LLC
177,babyfirst,com.amazon.rialto.cordova.webapp.webapp1d25b9c24ace4d98ad1f43e65345db35,B06XT9592R,BabyFirst,1,BabyFirst
178,pureflix,com.rollingstorm.pureflixFTV,B01A02IPYU,PureFlix,1,Pure Flix Digital
179,viki,com.viki.kindle,B00891L272,Rakuten Viki - Free TV Drama &amp; Movies,1,ViKi%2C Inc
180,hotstar,in.startv.hotstar,B06Y18MPK7,Hotstar,1,Novi Digital Private Limited
181,vtube player for youtube,com.vtube.app,B00B7Y0206,vTube for YouTube [FREE],3,Tube Apps
182,filmrise sci fi,com.future.filmrisescifi,B07PDC678Y,FilmRise Sci-Fi,3,Future Today Inc
183,airtv,net.airtv,B077TD252L,AirTV: Watch Local TV Anywhere,1,AirTV L.L.C.
184,vrv,com.ellation.vrv,B078KFQQJM,VRV,1,Ellation%2C Inc.
186,bib yoga,com.amazon.rialto.cordova.webapp.webapp8dce82b0aefe46e3ac67dc00fce12092,B01IP5CM48,Yoga with Body in Balance,1,Two Way Media
187,diy network,tv.accedo.diy,B01HBXFAYE,DIY Network,2,Scripps Networks%2C LLC
188,adventure story 2,com.renderedideas.adventurestory2,B077ZWVS57,Adventures Story 2,1,Rendered Ideas
189,x vpn,com.security.xvpn.z35kb.amazon,B07K9DS69M,X-VPN - Free Unlimited VPN Proxy,1,Free Connected Limited 
190,red bull tv,com.redbull.rbtv,B00J41R2PC,Red Bull TV,3,Red Bull
191,acorn tv,com.amazon.rialto.cordova.webapp.webapp03147576921f40378cbc1cc7db4af8b8,B01EAY1XPW,Acorn TV,2,RLJ Entertainment
192,tetris,com.toa.tetris,B00HAOGSYG,Tetris,1,Tetris Online%2C Inc.
193,impulsegp,com.ecotorque.impulsegp,B01I6JM2P2,Impulse GP,0,EcoTorque Games
194,adventure of teddy 2,com.renderedideas.aot2,B07PBB6GHW,Adventure of Teddy 2,3,Rendered Ideas
195,gaia,com.gaia.firetv,B01N9SQC83,Gaia for Fire TV: Conscious Yoga  Meditation  and Spirituality,1,Gaia
196,pba bowling,com.concretesoftware.pbachallenge_amazonfree,B00BGDEK9C,PBA® Bowling Challenge,2,Concrete Software%2C Inc.
197,ninja dash,com.renderedideas.ninjadash,B07MNDFT2J,Ninja Dash,2,Rendered Ideas
198,bbcnews,bbc.mobile.news.ww,B00PC6AJS0,BBC News for Fire TV,0,BBC Worldwide Limited
199,cleaner for fire tablets tv cleanza,com.quickla.soft.cleaner.security.protection.kindle.fire.tablet,B07LBYFVG6,Cleaner for Fire Tablets &amp; TV (Cleanza),6,Quickla Soft
201,mtd,au.com.oddgames.monstertruckdestruction,B00ESEXFGU,Monster Truck Destruction,0,ODD Games Pty Ltd
203,all screen receiver,com.toxic.apps.reciever,B01LYRIMRU,All Screen Receiver,3,Toxic
205,daily workouts free,com.tinymission.dailyworkoutsfree,B00AKOB7CG,Daily Workouts - Exercise Fitness Routine Trainer,2,Daily Workout Apps%2C LLC
206,hoopla,com.hoopladigital.android,B00JMRGQHI,Hoopla Digital,1,Hoopla Digital
207,motor trend ondemand,com.motortrendondemand.firetv,B06XP4F49R,Motor Trend OnDemand,3,TEN%3A The Enthusiast Network%2C LLC
208,tunein radio,tunein.player,B00E8TA7NY,TuneIn Radio,2,TuneIn
210,fite tv,com.flipps.fitetv,B07GHNNRTL,FITE - MMA  Wrestling  Boxing,1,Flipps Media Inc
211,ameba tv,com.amazon.rialto.cordova.webapp.webapp64b835f44e8749e9bb0d866de3845e05,B01017QXUM,Ameba TV,2,AmebaTV
212,alpha guns 2,com.renderedideas.alphaguns2.amazon,B07FP7KYNS,Alpha Guns 2,2,Rendered Ideas
213,at t u verse,com.att.labs.uversetv.android.tablet,B014HSSY4Y,U-verse for Fire TV,1,AT%26T Services%2C Inc.
214,cooking channel,tv.accedo.cookingchannel,B01HBX86VS,Cooking Channel,2,Scripps Networks%2C LLC
215,iwebtv player,com.swishly.webtv.fireosplayer,B01BL0CB2M,iWebTV Player,2,Swishly Inc
217,tubeplus,com.ihanghai.boxtube,B073W8YT32,TubePlus for YouTube,1,Apps for YouTube
218,brown sugar,com.brownsugar.apps.svod,B071RFC61V,Brown Sugar,2,Katz Broadcasting LLC
219,247horror,horror.bigstar.tv,B01MY90E5P,247 Horror Movies,0,Bigstar Movies
220,imperson8,com.demicapps.imperson8,B01AVK31QI,imperson8 - Free Family-Friendly Party Game,1,demic apps LLC
221,flix premiere,com.amazon.rialto.cordova.webapp.webappd7d7d5eb1634479abcb52eee08afe810,B01N5H5NNJ,Flix Premiere,2,Flix Premiere Limited
222,martial arts and kung fu movie channel,com.martial.arts.and.kung.fu.movies,B07JL4VDSS,Martial Arts and Kung-Fu Movie Channel,7,POV Horror
224,cleaner speed boost for fire tablets tv safefig,com.SafeFigApps.speed.booster.Simple_Cleaner,B07D126S8L,Cleaner &amp; Speed Boost for Fire Tablets &amp; TV (SafeFig),8,Safe Fig Apps
225,pocoyo kids tv,com.pocoyotv.tablet.zinkia,B00GCBB8CA,Pocoyo Kids TV,3,Zinkia Entertainment S.A.
226,criterion,com.criterionchannel,B07PPB3PTV,The Criterion Channel,1,The Criterion Collection
227,switchy road,com.gamecomobile.switchyroad,B07CWGZ8T4,Switchy Road,2,GameCo Mobile LLC
228,moto racing 3d,com.renderedideas.motoracing3d,B07KXV3K2M,Moto Racing 3D,3,Rendered Ideas
230,science go,com.discovery.firetv.scigo,B06XJDBP17,Science Channel GO - Fire TV,2,Discovery Communications
231,one america news network,com.herringnetwork.oannhd,B00QSGLPXG,One America News Network,4,Herring Networks
